Page_no,Link_no,Address,Sold_price,List_price,Style,Bedrooms,Bathrooms,Sqft_min,Sqft_max,Latitude,Longitude,Postal_code,Added_at,Sold_at,Last_status,Link_path,Address_path,Link_num,Title,Type,Exterior,Basement,Parking,Kitchens,Lot_frontage,Lot_depth,Parking_included,Parking_spaces,Approx_age,Extras,Is_rental,Description,MLS,Neighbourhood,Link,Garage,Heat,Heating_fuel,AC
1,11,46 Southmeadow Cres,1010000.0,999900.0,house-detached,3,2,,,-79.7258174,43.2152871,L8G3E7,2021-02-10T16:50:12.597Z,2021-02-17T04:00:00.000Z,Sld,/hamilton-on-real-estate/10505550-46-southmeadow-cres-hamilton-on-l8g3e7-vow,/hamilton-on-real-estate/46-southmeadow-cres,11,"46 Southmeadow Cres, Hamilton (X5110725) | Zoocasa",Detached,Brick,Finished and Full,3,1,115.24 feet,134.33 feet,True,3.0,51-99,"Inclusions: Fridge, Stove In Kitchen, Fridge & Chest Freezer In Basement, Washer & Dryer. Exclusions: Pool Table In Basement, Light Fixture Inside Front Door, Dining Rm Chandelier",False,"Well Maintained Detached, 3bed, 2bath, Brick Home Situated On A Large Corner Lot. Located In A Family Friendly Neighborhood, Walking Distance To South Meadow Elementary. Spacious Kitchen W/Large Window Overlooking The Patio & Large Backyard. Living Room Features A Large Picture Window, And A Fireplace To Cozy Up To After A Cold Winters' Day. Large Porch To Enjoy The Beautiful Summer Weather.  Possible Severance Opportunity. Buyer To Do Their Own Due Diligence",X5110725,Fruitland,http://www.zoocasa.com//hamilton-on-real-estate/10505550-46-southmeadow-cres-hamilton-on-l8g3e7-vow,Attached,Forced Air,Oil,None
1,12,30 Castlefield Dr,715000.0,599000.0,house-detached,3,2,700,1100,-79.8322348,43.2248309,L8T3R2,2021-02-10T12:49:27.875Z,2021-02-17T04:00:00.000Z,Sld,/hamilton-on-real-estate/10504112-30-castlefield-dr-hamilton-on-l8t3r2-vow,/hamilton-on-real-estate/30-castlefield-dr,12,"30 Castlefield Dr, Hamilton (X5110068) | Zoocasa",Detached,Brick,Finished and Sep Entrance,6,1,47 feet,100 feet,True,6.0,51-99,"Incl:  Upstairs Fridge, Stove, Bsmt Dishwasher, All Light Fixtures & Window Coverings, Ceiling Fans, Autogarage Door & 1 Remote, Shelving In Storage Room Excl:  Washer, Dryer, All Garage Shelving, Downstairs Fridge, All Coat Hook Mounts (3)",False,"Fantastic Bungalow... Meticulously Cared For! 3 Bedroom 2 Baths, And A Full High, Dry & Bright Basement That Could Easily Be Converted To An In-Law Set Up! Its Almost There And Has A Separate Side Entrance. Amazing 2 Car Detached Garage Perfect For A Multitude Of Uses. Hardwood Floors Upstairs And Carpet Free. Roof 2019. Rsa",X5110068,Hampton Heights,http://www.zoocasa.com//hamilton-on-real-estate/10504112-30-castlefield-dr-hamilton-on-l8t3r2-vow,Attached,Forced Air,Gas,Central Air
1,13,2 Workman Lane,666000.0,599999.0,house-attached,3,2,1100,1500,-79.9653716,43.2053448,L9G0H2,2021-02-09T18:34:47.278Z,2021-02-17T04:00:00.000Z,Sld,/hamilton-on-real-estate/10502473-2-workman-lane-hamilton-on-l9g0h2,/hamilton-on-real-estate/2-workman-ln,13,"2 Workman Lane, Hamilton (X5109606) | Zoocasa",Att/Row/Twnhouse,Brick,None,2,1,26.98 feet,40 feet,True,2.0,0-5,"Stainless Steel Appliances Incl:- Stove, Fridge, Range Hood/Microwave And Dishwasher, Ensuite Washer And Dryer, Window Covering/Curtains, All Elf,",False,"Losani-Built Freehold 3 Bedrms Corner Townhome Open Concept W/Kitchen Quartz Counters, S/S Appliances, Breakfast Bar, Easy Access To The Highway, 9ft Ceiling On 2nd Flr, Throughout Hardwood On 2nd Flr & 3rd Flr Hallway, Large Balcony Sunny/Bright, Finished L/Level Can Be Used As A Home Office. Great For 1st Time Home Buyers, Commuters Or Investors! 2nd Flr W/Laundry W/ Stackable Washer And Dryer,Lot Of Storage Space. Condo Fee $56/Month.",X5109606,Harmony Hall II,http://www.zoocasa.com//hamilton-on-real-estate/10502473-2-workman-lane-hamilton-on-l9g0h2,Attached,Fan Coil,Gas,Central Air
1,14,90 East 24th St,466000.0,474900.0,house-detached,3,1,,,-79.8514363,43.236998,L8V2Y1,2021-02-08T15:35:47.776Z,2021-02-17T04:00:00.000Z,Sld,/hamilton-on-real-estate/10498528-90-east-24th-st-hamilton-on-l8v2y1,/hamilton-on-real-estate/90-e-24th-st,14,"90 East 24th St, Hamilton (X5107602) | Zoocasa",Detached,Alum Siding and Vinyl Siding,Crawl Space,2,1,25 feet,133 feet,True,2.0,,"Fridge, Stove, Washer, Dryer ( All As Is)  Hot Water Rank Rental",False,"Beautiful Cozy 3 Bedroom Bungalow With Detached Garage. Ideal For First Time Buyer,Small Family Or Investor. Roof Updated On 2018, Furnace 2018. Third Bedroom Can Be Used As A Office Space. Enjoy The Summer In A Large Backyard. Ten Minutes To Go Station, Mohawk College And All Nearby Amenities.",X5107602,Eastmount,http://www.zoocasa.com//hamilton-on-real-estate/10498528-90-east-24th-st-hamilton-on-l8v2y1,Detached,Forced Air,Gas,None
1,15,1075 Upper Wellington St,535000.0,449900.0,house-semidetached,3,1,700,1100,-79.8738055,43.220721,L9A3S5,2021-02-05T20:49:34.087Z,2021-02-17T04:00:00.000Z,Sld,/hamilton-on-real-estate/10495216-1075-upper-wellington-st-hamilton-on-l9a3s5-vow,/hamilton-on-real-estate/1075-upper-wellington-st,15,"1075 Upper Wellington St, Hamilton (X5106199) | Zoocasa",Semi-Detached,Brick,Part Fin and Full,3,1,31.99 feet,130 feet,True,3.0,51-99,"***Vm170545; S/T Hl251735 Hl256551 Hamilton**  Inclusions: Fridge, Stove, Washer, Dryer, All Window Coverings, All Electrical Light Fixtures Hot Water Heater Is A Rental",False,"Prime Central Mountain Location! Walking Distance To Elementary Schools, Dave Andreychuk Arena, Limeridge Mall, Shopper'S Drug Mart, Tim Horton'S, & Public Transit. Minutes Drive To The ""Linc"" & Jolly Cut. Enough Cannot Be Said For This Fantastic Neighbourhood. Hardwood In Living Room & All Bedrooms. Parking For 3 Vehicles, Large Rear Yard, & Separate Entrance To Basement. Don'T Miss Out On This Fantastic Opportunity!",X5106199,Bruleville,http://www.zoocasa.com//hamilton-on-real-estate/10495216-1075-upper-wellington-st-hamilton-on-l9a3s5-vow,None,Forced Air,Gas,Central Air
1,16,67 West 5th St,601000.0,549900.0,house-detached,3,2,,,-79.8807175,43.2427061,L9C3N5,2021-02-04T15:35:12.791Z,2021-02-17T04:00:00.000Z,Sld,/hamilton-on-real-estate/10490799-67-west-5th-st-hamilton-on-l9c3n5,/hamilton-on-real-estate/67-west-5th-st,16,"67 West 5th St, Hamilton (X5104029) | Zoocasa",Detached,Brick,Finished and Full,3,1,46 feet,95 feet,True,3.0,,Hwt (R).,False,"Location! Location! Perfectly Located At The Top The Of The Escarpment Across From St Josephs Healthcare West 5th Campus & Mohawk College With 5 Min Drive To St Joseph'S Hospital (Charlton). Ideal For Handyman, First Time Buyer Or Investor Looking To Rent To Rent To Students. Currently Tenanted To 4 Individual Occupants.",X5104029,Southam,http://www.zoocasa.com//hamilton-on-real-estate/10490799-67-west-5th-st-hamilton-on-l9c3n5,Attached,Forced Air,Gas,Central Air
1,17,455 Charlton Ave E,499000.0,499900.0,condo-highrise,2,2,800,899,-79.8559695,43.2461899,L8N0B2,2021-02-13T12:37:56.406Z,2021-02-16T04:00:00.000Z,Sld,/hamilton-on-real-estate/10513948-408-455-charlton-ave-e-hamilton-on-l8n0b2,/hamilton-on-real-estate/408-455-charlton-ave-e,17,"408 - 455 Charlton Ave E, Hamilton (X5114387) | Zoocasa",Condo Apt,Stone and Stucco/Plaster,None,1,1,,,True,1.0,0-5,,False,"Enjoy City & Escarpment Views On Your Spacious Corner Unit Balcony. Great Escarpment Location, Close To Hospitals, Transit & Vibrant Downtown. Beautiful Lobby W/Waterfall Feat Greets You In This Bright Upscale Condo. Open Concept Living Room, Dining & Kitchen, W/Upgraded Cabinets, Quartz Counters, W/Added Pot Lights & Mood Setting Dimmers; 2 Spacious Bdrms W/Custom Privacy Window Shades; 2 Baths & In-Suite Laundry W/Upgraded Washer/Dryer.",X5114387,Stinson,http://www.zoocasa.com//hamilton-on-real-estate/10513948-408-455-charlton-ave-e-hamilton-on-l8n0b2,Undergrnd,Forced Air,Gas,Central Air
1,18,71 Fiddlehead Cres,868888.0,798000.0,house-detached,3,3,1500,2000,-79.8836484,43.3466532,L8B0Y1,2021-02-12T17:35:25.257Z,2021-02-16T04:00:00.000Z,Sld,/hamilton-on-real-estate/10512212-71-fiddlehead-cres-hamilton-on-l8b0y1,/hamilton-on-real-estate/71-fiddlehead-cres,18,"71 Fiddlehead Cres, Hamilton (X5113918) | Zoocasa",Detached,Alum Siding,Full and Unfinished,3,1,21.3 feet,86.24 feet,True,3.0,6-15,"Inclusions: Fridge, Stove, Dishwasher, All Window Covers, All Light Fixtures,  Exclusions:",False,"Welcome To 71 Fiddlehead Cres! This Terrific 3-Bed, 2+1 Bath Family Home Is Located With The Best Of Charming Waterdown Just Minutes Away! Main Level Offers A Large Living/Dining Room That Opens To A Bright And Sunny Eat-In Kitchen. The Rear Yard Is Fully Fenced And Low Maintenance, With A Large Deck And Plenty Of Space For Relaxing Or Playtime. With Shopping, Dining, Greenspaces, Schools And Much More In Close Proximity, This Lovely Home Truly Has It All.",X5113918,Waterdown North,http://www.zoocasa.com//hamilton-on-real-estate/10512212-71-fiddlehead-cres-hamilton-on-l8b0y1,Attached,Forced Air,Gas,Central Air
1,19,128 Brantdale Ave,720000.0,624900.0,house-detached,3,3,1100,1500,-79.879408,43.2412516,L9C1B9,2021-02-12T16:50:07.979Z,2021-02-16T04:00:00.000Z,Sld,/hamilton-on-real-estate/10512172-128-brantdale-ave-hamilton-on-l9c1b9-vow,/hamilton-on-real-estate/128-brantdale-ave,19,"128 Brantdale Ave, Hamilton (X5113793) | Zoocasa",Detached,Brick and Vinyl Siding,Full and Finished,3,2,40 feet,110 feet,True,3.0,51-99,"Fridge And Stove Lower Level Included, Dishwasher, Washer And Dryer (All As Is Condition). Exclusions: Fridge And Stove On Main Level. Hwt (R).",False,"Fully Renovated 3+2 Bedrooms; Excellent Investment Near Mohawk College, Or Can Be Great Fit For Larger Family. Two Kitchens, 2.5 Bathrooms, Granite Kitchen, Newer Appliances, Hardwood And Porcelain Main Floor, Newer Deck On Deep 110' Lot Backing To Park. Roof 2016. You Definitely Want To Get Into This One To See It.",X5113793,Southam,http://www.zoocasa.com//hamilton-on-real-estate/10512172-128-brantdale-ave-hamilton-on-l9c1b9-vow,None,Forced Air,Gas,Central Air
1,20,60 Soho St,800000.0,699900.0,house-attached,3,3,1500,2000,-79.8166112,43.1850231,L8J2R9,2021-02-12T12:48:35.101Z,2021-02-16T04:00:00.000Z,Sld,/hamilton-on-real-estate/10510871-60-soho-st-hamilton-on-l8j2r9-vow,/hamilton-on-real-estate/60-soho-st,20,"60 Soho St, Hamilton (X5113115) | Zoocasa",Att/Row/Twnhouse,Brick,Full and W/O,2,1,,,True,2.0,0-5,"Inclusions: Fridge, Stove, Otr Microwave, Dishwasher, Washer, Dryer, Elf'S, Window Coverings Offers Tuesday, February 16th, Submit By 4pm.",False,"This Gorgeous 3 Bed 2.5 Bath End Unit Home Has Large Windows & Is Filled With Natural Light. The Open Concept Main Floor Has An Updated Kitchen That Overlooks The Dining Area & Large Family Room. Upstairs Is The Large Master Suite Complete With Walk In Closet & Oversized Spa Inspired Ensuite. 2 Bedrooms, Main Bath, & Laundry Compliment The Upper Level. Lower Level Walk Out Adds Functionality & Light To Unfinished Basement & Is Awaiting Your Finishing Touches.",X5113115,Leckie Park,http://www.zoocasa.com//hamilton-on-real-estate/10510871-60-soho-st-hamilton-on-l8j2r9-vow,Built-In,Forced Air,Gas,Central Air
1,21,7 Janis Crt,850000.0,684000.0,house-detached,2,2,700,1100,-79.9440004,43.2766961,L9H1S8,2021-02-11T21:50:41.089Z,2021-02-16T04:00:00.000Z,Sld,/hamilton-on-real-estate/10510401-7-janis-crt-hamilton-on-l9h1s8-vow,/hamilton-on-real-estate/7-janis-ct,21,"7 Janis Crt, Hamilton (X5112955) | Zoocasa",Detached,Brick,Finished and Walk-Up,5,1,34.67 feet,144.88 feet,True,5.0,,"Brand New Ss Fridge, Stove, Dishwasher, Over The Stove Microwave, All Elf'S",False,"Welcome To 7 Janis Court, Fabulous, Open Concept, Totally Renovated 1.5 Story Home, 2+1 Bed, 2 Bath Fully Detached Property In Move In Condition. Located In A Mature, Quiet Court Nestled Under The Escarpment & Only Minutes From Downtown Dundas Restaurants & Shops As Well As Schools & Parks. Mcmaster University & The 403 Highway Access Are A Short 10 Minute Drive Away. Open Concept Main Level Has All The Bells And Whistles- See Supplements For Full Description",X5112955,Hopkins Survey,http://www.zoocasa.com//hamilton-on-real-estate/10510401-7-janis-crt-hamilton-on-l9h1s8-vow,Detached,Forced Air,Gas,Central Air
1,22,150 Garden Cres,750000.0,599900.0,house-detached,3,2,1100,1500,-79.85884229999999,43.2265354,L8V4T4,2021-02-11T20:50:34.884Z,2021-02-16T04:00:00.000Z,Sld,/hamilton-on-real-estate/10509576-150-garden-cres-hamilton-on-l8v4t4-vow,/hamilton-on-real-estate/150-garden-cres,22,"150 Garden Cres, Hamilton (X5112782) | Zoocasa",Detached,Vinyl Siding and Brick,Finished,2,1,34.78 feet,100.39 feet,True,2.0,31-50,"Incl: Wdw Covgs, Elfs, Frdge, Stve, Dw, Washer, Dryer, Microwave. Amps/Volts:100/ Rental: Hot Water Heater. Interior Features: Alarm System.",False,"Welcome To 150 Garden Crescent, This 4 Lvl Back Split Won'T Disappoint! The Main Floor Has Eat-In Kitchen With A Separate Living/Dining Room Area. 2nd Floor Has 3 Great Sized Bedrooms With A 4 Pc Bathroom. The Basement Has A Finished Family Room, 3 Pc Bathroom And 2 Additional Bedrooms. The 4th Level Is Unfinished And Has The Potential To Be A Home Gym, Home Office Or Kids' Playroom! Rsa",X5112782,Burkholme,http://www.zoocasa.com//hamilton-on-real-estate/10509576-150-garden-cres-hamilton-on-l8v4t4-vow,None,Forced Air,Gas,Central Air
